,Cand_Name,Cand_Id,Cand_Party_Affiliation,Cand_Office_St,Total_Receipt,Candidate,District,Office Type,Won Primary,Election Race,Num_Candidates,Receipts_Sum,Receipts_Prop
48,"BECK, TOBI",H8IN04124,DEM,IN,120052.37,Tobi Beck,U.S. House Indiana District 4,Representative,1.0,"('U.S. House Indiana District 4', 'Representative')",5,166520.63,0.7209459272403665
49,"BELL, ADRIENNE",H8TX14120,DEM,TX,211626.33,Adrienne Bell,U.S. House Texas District 14,Representative,1.0,"('U.S. House Texas District 14', 'Representative')",1,211626.33,1.0
50,"BELL, BARRY",H8SC04292,REP,SC,5620.41,Barry Bell,U.S. House South Carolina District 4,Representative,0.0,"('U.S. House South Carolina District 4', 'Representative')",6,616503.09,0.009116596641875712
51,"BELOIN, GERARD",H2NH02179,REP,NH,0.0,Gerard Beloin,U.S. House New Hampshire District 2,Representative,0.0,"('U.S. House New Hampshire District 2', 'Representative')",4,1110510.85,0.0
52,"BENNO, AMEER",H8NY04084,REP,NY,50169.0,Ameer Benno,U.S. House New York District 4,Representative,1.0,"('U.S. House New York District 4', 'Representative')",1,50169.0,1.0
53,"BENTIVOLIO, KERRY",H2MI11133,REP,MI,37273.54,Kerry Bentivolio,U.S. House Michigan District 11,Representative,0.0,"('U.S. House Michigan District 11', 'Representative')",7,8157890.890000001,0.004569016735157633
55,"BENTLEY, ROBERT",H8CA36196,REP,CA,110.0,Robert Bentley,U.S. House California District 36,Representative,0.0,"('U.S. House California District 36', 'Representative')",4,878444.34,0.00012522136576120465
56,"BIGGAN, JOHN",H8TX24111,DEM,TX,86564.64,John Biggan,U.S. House Texas District 24,Representative,0.0,"('U.S. House Texas District 24', 'Representative')",1,86564.64,1.0
57,"BLANKENBEKER, LYNNE",H8NH02283,REP,NH,134043.56,Lynne Blankenbeker,U.S. House New Hampshire District 2,Representative,0.0,"('U.S. House New Hampshire District 2', 'Representative')",4,1110510.85,0.12070441274842113
58,"BLANKENSHIP, DON",S8WV00150,CON,WV,4165210.09,Don Blankenship,U.S. Senate West Virginia,Senator,0.0,"('U.S. Senate West Virginia', 'Senator')",2,4165210.09,1.0
59,"BLIATOUT, BOBBY",H8CA22154,DEM,CA,394178.67,Bobby Bliatout,U.S. House California District 22,Representative,0.0,"('U.S. House California District 22', 'Representative')",2,9628047.68,0.040940664514864555
60,"BLOOM, STEPHEN",H8PA11061,REP,PA,349627.49,Stephen Bloom,U.S. House Pennsylvania District 13,Representative,0.0,"('U.S. House Pennsylvania District 13', 'Representative')",4,1895910.83,0.1844113575742378
61,"BLY, RAY",H8MD07042,REP,MD,0.0,Ray Bly,U.S. House Maryland District 7,Representative,0.0,"('U.S. House Maryland District 7', 'Representative')",3,19278.86,0.0
62,"BOERIO, BIBIANA",H8PA14065,DEM,PA,690533.84,Bibiana Boerio,U.S. House Pennsylvania District 14,Representative,1.0,"('U.S. House Pennsylvania District 14', 'Representative')",4,3068491.45,0.22504017079793392
63,"BOICE, COURT",H8OR04142,REP,OR,0.0,Court Boice,U.S. House Oregon District 4,Representative,0.0,"('U.S. House Oregon District 4', 'Representative')",3,14623.38,0.0
64,"BONHAM, PAUL",H8NC12101,REP,NC,9034.0,Paul Bonham,U.S. House North Carolina District 12,Representative,0.0,"('U.S. House North Carolina District 12', 'Representative')",3,13304.0,0.6790438965724594
65,"BOSER, SUSAN",H8PA09065,DEM,PA,144712.13,Susan Boser,U.S. House Pennsylvania District 15,Representative,1.0,"('U.S. House Pennsylvania District 15', 'Representative')",2,144712.13,1.0
66,"BOURDEAUX, CAROLYN",H8GA07201,DEM,GA,2943199.78,Carolyn Bourdeaux,U.S. House Georgia District 7,Representative,1.0,"('U.S. House Georgia District 7', 'Representative')",5,5103604.22,0.5766904432883316
67,"BRAKEY, ERIC",S8ME00130,REP,ME,962794.83,Eric Brakey,U.S. Senate Maine,Senator,1.0,"('U.S. Senate Maine', 'Senator')",1,962794.83,1.0
69,"BRAUN, MIKE",S8IN00171,REP,IN,19759939.59,Mike Braun,U.S. Senate Indiana,Senator,1.0,"('U.S. Senate Indiana', 'Senator')",1,19759939.59,1.0
70,"BRIGHT, LEE",H8SC04342,REP,SC,342037.73,Lee Bright,U.S. House South Carolina District 4,Representative,0.0,"('U.S. House South Carolina District 4', 'Representative')",6,616503.09,0.5548029451077041
71,"BRINDISI, ANTHONY",H8NY22151,DEM,NY,4641923.14,Anthony Brindisi,U.S. House New York District 22,Representative,1.0,"('U.S. House New York District 22', 'Representative')",1,4641923.14,1.0
72,"BRISCOE, JOHN",H8CA47078,REP,CA,54713.56,John Briscoe,U.S. House California District 47,Representative,1.0,"('U.S. House California District 47', 'Representative')",2,80393.95999999999,0.6805680426738526
73,"BROLLEY, MATT",H8IL14166,DEM,IL,165970.12,Matt Brolley,U.S. House Illinois District 14,Representative,0.0,"('U.S. House Illinois District 14', 'Representative')",6,279346.48,0.5941371446670816
74,"BROOK, MARTIN",H8MI09100,DEM,MI,36287.65,Martin Brook,U.S. House Michigan District 9,Representative,0.0,"('U.S. House Michigan District 9', 'Representative')",3,2931987.88,0.012376466576662658
75,"BROWN, LISA",H8WA05193,DEM,WA,5763983.16,Lisa Brown,U.S. House Washington District 5,Representative,1.0,"('U.S. House Washington District 5', 'Representative')",1,5763983.16,1.0
76,"BROWN, STEVE",H4NV04058,LIB,NV,0.0,Steve Brown,U.S. House Texas District 22,Representative,0.0,"('U.S. House Texas District 22', 'Representative')",5,1807126.53,0.0
77,"BROWNING, DEAN",H8PA15260,REP,PA,226600.0,Dean Browning,U.S. House Pennsylvania District 7,Representative,0.0,"('U.S. House Pennsylvania District 7', 'Representative')",5,4261507.57,0.05317367065007935
78,"BRUMBLES, JOSEPH",H8WA10045,REP,WA,5243.0,Joseph Brumbles,U.S. House Washington District 10,Representative,1.0,"('U.S. House Washington District 10', 'Representative')",1,5243.0,1.0
79,"BRUUN, BECH",H8TX27072,REP,TX,662739.22,Bech Bruun,U.S. House Texas District 27,Representative,0.0,"('U.S. House Texas District 27', 'Representative')",8,1671717.96,0.3964420050855947
80,"BURCHETT, TIM",H8TN02119,REP,TN,1094057.68,Tim Burchett,U.S. House Tennessee District 2,Representative,1.0,"('U.S. House Tennessee District 2', 'Representative')",4,1943755.4899999998,0.5628576668354517
81,"BURNETTE, ERIC",H8OR02153,DEM,OR,75202.0,Eric Burnette,U.S. House Oregon District 2,Representative,0.0,"('U.S. House Oregon District 2', 'Representative')",5,270054.13,0.27847009782816506
82,"BURNS, MARK",H8SC04284,REP,SC,136405.05,Mark Burns,U.S. House South Carolina District 4,Representative,0.0,"('U.S. House South Carolina District 4', 'Representative')",6,616503.09,0.22125606864354888
83,"BUTNER, JOSH",H8CA50106,DEM,CA,758932.09,Josh Butner,U.S. House California District 50,Representative,0.0,"('U.S. House California District 50', 'Representative')",2,4838089.7,0.15686606430633146
84,"BYRNE, MICHAEL",H8OR02195,DEM,OR,0.0,Michael Byrne,U.S. House Oregon District 2,Representative,0.0,"('U.S. House Oregon District 2', 'Representative')",5,270054.13,0.0
85,"CAFORIO, BRYAN",H6CA25177,DEM,CA,1217418.32,Bryan Caforio,U.S. House California District 25,Representative,0.0,"('U.S. House California District 25', 'Representative')",3,1720933.32,0.7074174843683078
86,"CAIOZZO, SALVATORE",H6RI02284,REP,RI,4960.0,Salvatore Caiozzo,U.S. House Rhode Island District 2,Representative,1.0,"('U.S. House Rhode Island District 2', 'Representative')",1,4960.0,1.0
87,"CALLIS, MICHAEL",H6NH01263,REP,NH,0.0,Michael Callis,U.S. House New Hampshire District 1,Representative,0.0,"('U.S. House New Hampshire District 1', 'Representative')",5,2480153.7399999998,0.0
89,"CAMPA-NAJJAR, AMMAR",H8CA50098,DEM,CA,4079157.61,Ammar Campa-Najjar,U.S. House California District 50,Representative,1.0,"('U.S. House California District 50', 'Representative')",2,4838089.7,0.8431339356936685
91,"CAMPBELL, TOM",H8ND00104,REP,ND,1201139.87,Tom Campbell,U.S. House North Dakota At-large District,Representative,0.0,"('U.S. House North Dakota At-large District', 'Representative')",5,2970728.85,0.4043249756705329
92,"CAMPBELL, TOM",S8ND00104,REP,ND,0.0,Tom Campbell,U.S. House North Dakota At-large District,Representative,0.0,"('U.S. House North Dakota At-large District', 'Representative')",5,2970728.85,0.0
93,"CANDLER, ANDREW",H8MN01345,REP,MN,0.0,Andrew Candler,U.S. House Minnesota District 1,Representative,0.0,"('U.S. House Minnesota District 1', 'Representative')",3,106892.27,0.0
94,"CARTER, PATRICK",H8NV03259,REP,NV,9538.83,Patrick Carter,U.S. House Nevada District 3,Representative,0.0,"('U.S. House Nevada District 3', 'Representative')",10,5667748.680000001,0.0016830015829142231
95,"CASTEN, SEAN",H8IL06139,DEM,IL,6439711.53,Sean Casten,U.S. House Illinois District 6,Representative,1.0,"('U.S. House Illinois District 6', 'Representative')",6,8244590.320000001,0.781083265517552
96,"CHAFFEE, CHRIS",S6MD03557,REP,MD,0.0,Chris Chaffee,U.S. Senate Maryland,Senator,0.0,"('U.S. Senate Maryland', 'Senator')",6,41556.17,0.0
97,"CHENEY, CAROLE",H8IL06147,DEM,IL,350684.28,Carole Cheney,U.S. House Illinois District 6,Representative,0.0,"('U.S. House Illinois District 6', 'Representative')",6,8244590.320000001,0.04253507650335256
98,"CHIRINO, ANGIE",H8FL27177,REP,FL,57344.58,Angie Chirino,U.S. House Florida District 27,Representative,0.0,"('U.S. House Florida District 27', 'Representative')",7,3451467.7,0.016614549224957254
99,"CLARK, DAVID",H8PA07267,DEM,PA,0.0,David Clark,U.S. House Pennsylvania District 7,Representative,0.0,"('U.S. House Pennsylvania District 7', 'Representative')",5,4261507.57,0.0
100,"CLARK, MIKE",H6TX31045,DEM,TX,17365.81,Mike Clark,U.S. House Texas District 31,Representative,0.0,"('U.S. House Texas District 31', 'Representative')",1,17365.81,1.0
101,"CLARKSON, GAVIN",H8NM02222,REP,NM,182336.0,Gavin Clarkson,U.S. House New Mexico District 2,Representative,0.0,"('U.S. House New Mexico District 2', 'Representative')",4,5891239.15,0.030950364661397254
102,"CLIFFORD, DAVID",H8CA47060,REP,CA,25680.4,David Clifford,U.S. House California District 47,Representative,0.0,"('U.S. House California District 47', 'Representative')",2,80393.95999999999,0.31943195732614743
103,"CLOUD, MICHAEL",H8TX27049,REP,TX,746292.27,Michael Cloud,U.S. House Texas District 27,Representative,1.0,"('U.S. House Texas District 27', 'Representative')",8,1671717.96,0.44642235583806256
104,"COBERT, MITCHELL",H8NJ11191,DEM,NJ,132391.7,Mitchell Cobert,U.S. House New Jersey District 11,Representative,0.0,"('U.S. House New Jersey District 11', 'Representative')",6,2942044.29,0.04499990039239009
105,"COCKBURN, LESLIE",H8VA05155,DEM,VA,3538321.62,Leslie Cockburn,U.S. House Virginia District 5,Representative,1.0,"('U.S. House Virginia District 5', 'Representative')",1,3538321.62,1.0
106,"COHEN, LAWRENCE",H8OH12255,REP,OH,0.0,Lawrence Cohen,U.S. House Ohio District 12,Representative,0.0,"('U.S. House Ohio District 12', 'Representative')",18,7280690.9,0.0
107,"COHEN, LAWRENCE",H8OH12255,REP,OH,0.0,Lawrence Cohen,U.S. House Ohio District 12,Representative,0.0,"('U.S. House Ohio District 12', 'Representative')",18,7280690.9,0.0
108,"COKER, ADAM",H6NC02130,DEM,NC,71637.95,Adam Coker,U.S. House North Carolina District 13,Representative,0.0,"('U.S. House North Carolina District 13', 'Representative')",2,4283327.41,0.016724836358003273
109,"COLEMAN, ANDY",H8OK01124,REP,OK,412018.14,Andy Coleman,U.S. House Oklahoma District 1,Representative,0.0,"('U.S. House Oklahoma District 1', 'Representative')",7,1488296.22,0.27683880027592894
110,"COLEMAN, LINDA",H8NC02110,DEM,NC,1727747.61,Linda Coleman,U.S. House North Carolina District 2,Representative,1.0,"('U.S. House North Carolina District 2', 'Representative')",3,2383565.77,0.7248583746862585
111,"COLLIER, ERIN",H8NY19256,DEM,NY,211153.96,Erin Collier,U.S. House New York District 19,Representative,0.0,"('U.S. House New York District 19', 'Representative')",3,11213408.77,0.018830488063978783
112,"COLVIN, JESSE",H8MD01193,DEM,MD,1876162.65,Jesse Colvin,U.S. House Maryland District 1,Representative,1.0,"('U.S. House Maryland District 1', 'Representative')",2,1876162.65,1.0
113,"COMBEE, NEIL",H8FL15222,REP,FL,217665.0,Neil Combee,U.S. House Florida District 15,Representative,0.0,"('U.S. House Florida District 15', 'Representative')",3,316694.25,0.6873032901607781
114,"CONYERS, IAN",H8MI13284,DEM,MI,212777.5,Ian Conyers,U.S. House Michigan District 13,Representative,0.0,"('U.S. House Michigan District 13', 'Representative')",7,4298396.4399999995,0.049501599717498374
115,"CONYERS, IAN",H8MI13284,DEM,MI,212777.5,Ian Conyers,U.S. House Michigan District 13,Representative,0.0,"('U.S. House Michigan District 13', 'Representative')",7,4298396.4399999995,0.049501599717498374
116,"COOPER, DAVE",H8GA09066,DEM,GA,39593.31,Dave Cooper,U.S. House Georgia District 9,Representative,0.0,"('U.S. House Georgia District 9', 'Representative')",1,39593.31,1.0
117,"CORBIN-JOHNSON, SHAVONNIA",H8PA04108,DEM,PA,245856.38,Shavonnia Corbin-Johnson,U.S. House Pennsylvania District 10,Representative,0.0,"('U.S. House Pennsylvania District 10', 'Representative')",2,2465412.29,0.09972221725235254
119,"CRENSHAW, DANIEL",H8TX02166,UNK,TX,1865423.71,Daniel Crenshaw,U.S. House Texas District 2,Representative,1.0,"('U.S. House Texas District 2', 'Representative')",7,3785546.39,0.4927752873212049
120,"CROCHETIERE, BRUCE",H8NH01277,REP,NH,329036.95,Bruce Crochetiere,U.S. House New Hampshire District 1,Representative,0.0,"('U.S. House New Hampshire District 1', 'Representative')",5,2480153.7399999998,0.13266796517219132
121,"CROW, JASON",H8CO06229,DEM,CO,5712546.74,Jason Crow,U.S. House Colorado District 6,Representative,1.0,"('U.S. House Colorado District 6', 'Representative')",2,6064348.69,0.9419885023135106
122,"CRUZ, ERIN",S8CA00440,REP,CA,32488.0,Erin Cruz,U.S. Senate California,Senator,0.0,"('U.S. Senate California', 'Senator')",4,55771.0,0.5825249681734235
123,"CUNNINGHAM, JOE",H8SC01116,DEM,SC,2468862.54,Joe Cunningham,U.S. House South Carolina District 1,Representative,1.0,"('U.S. House South Carolina District 1', 'Representative')",2,2484412.54,0.9937409750797668
124,"CURTIS , RON",S8HI00210,REP,HI,19925.0,Ron Curtis,U.S. Senate Hawaii,Senator,1.0,"('U.S. Senate Hawaii', 'Senator')",1,19925.0,1.0
125,"D'ALESSANDRO, PETE",H8IA03173,DEM,IA,372277.85,Pete D'Alessandro,U.S. House Iowa District 3,Representative,0.0,"('U.S. House Iowa District 3', 'Representative')",2,5615689.54,0.06629245569013417
126,"DADY, SARA",H8IL16120,DEM,IL,382450.38,Sara Dady,U.S. House Illinois District 16,Representative,1.0,"('U.S. House Illinois District 16', 'Representative')",2,395548.38,0.966886477957513
127,"DAHM, NATHAN",H0OK01089,REP,OK,142317.0,Nathan Dahm,U.S. House Oklahoma District 1,Representative,0.0,"('U.S. House Oklahoma District 1', 'Representative')",7,1488296.22,0.0956241090231352
128,"DASH, STACEY",H8CA44109,REP,CA,44730.13,Stacey Dash,U.S. House California District 44,Representative,0.0,"('U.S. House California District 44', 'Representative')",2,44730.13,1.0
129,"DAVID, DAN",H8PA15286,REP,PA,510412.7,Dan David,U.S. House Pennsylvania District 4,Representative,1.0,"('U.S. House Pennsylvania District 4', 'Representative')",2,1942682.3399999999,0.26273605802171446
130,"DAVID, STEVEN",H8TX08080,DEM,TX,34332.81,Steven David,U.S. House Texas District 8,Representative,1.0,"('U.S. House Texas District 8', 'Representative')",1,34332.81,1.0
131,"DAVIDS, SHARICE",H8KS03155,DEM,KS,4860761.14,Sharice Davids,U.S. House Kansas District 3,Representative,1.0,"('U.S. House Kansas District 3', 'Representative')",5,7093256.309999999,0.6852651204986558
132,"DAVIDSON, MARGO",H8PA05287,DEM,PA,62327.3,Margo Davidson,U.S. House Pennsylvania District 5,Representative,0.0,"('U.S. House Pennsylvania District 5', 'Representative')",8,3880740.18,0.016060673250225168
133,"DAVIS, J. JASON",H8IN07325,REP,IN,0.0,J. Jason Davis,U.S. House Indiana District 7,Representative,0.0,"('U.S. House Indiana District 7', 'Representative')",2,7145.65,0.0
134,"DAVIS, MELISSA",H8GA07185,DEM,GA,66192.42,Melissa Davis,U.S. House Georgia District 7,Representative,0.0,"('U.S. House Georgia District 7', 'Representative')",5,5103604.22,0.012969740039912421
135,"DAVIS, PATRICK",H8NM01406,DEM,NM,393987.79,Patrick Davis,U.S. House New Mexico District 1,Representative,0.0,"('U.S. House New Mexico District 1', 'Representative')",5,4358793.38,0.09038918701854136
136,"DAVIS, RICHMOND",H8MD07083,REP,MD,19278.86,Richmond Davis,U.S. House Maryland District 7,Representative,0.0,"('U.S. House Maryland District 7', 'Representative')",3,19278.86,1.0
137,"DEAN, MADELEINE",H8PA04116,DEM,PA,1432269.64,Madeleine Dean,U.S. House Pennsylvania District 4,Representative,1.0,"('U.S. House Pennsylvania District 4', 'Representative')",2,1942682.3399999999,0.7372639419782856
138,"DELGADO, ANTONIO",H8NY19181,DEM,NY,9244751.44,Antonio Delgado,U.S. House New York District 19,Representative,1.0,"('U.S. House New York District 19', 'Representative')",3,11213408.77,0.8244372099172124
139,"DENNEY, AUDREY",H8CA01257,DEM,CA,1097584.95,Audrey Denney,U.S. House California District 1,Representative,1.0,"('U.S. House California District 1', 'Representative')",2,1114859.95,0.9845047801744067
140,"DENT, MARK",H8OH16140,DEM,OH,0.0,Mark Dent,U.S. House Ohio District 16,Representative,0.0,"('U.S. House Ohio District 16', 'Representative')",4,938238.0800000001,0.0
141,"DESAI, CHINTAN",H8AR01029,DEM,AR,137153.22,Chintan Desai,U.S. House Arkansas District 1,Representative,1.0,"('U.S. House Arkansas District 1', 'Representative')",1,137153.22,1.0
142,"DETERS, BRIAN",H8IL18092,DEM,IL,20583.09,Brian Deters,U.S. House Illinois District 18,Representative,0.0,"('U.S. House Illinois District 18', 'Representative')",3,98894.39,0.20813202852052579
143,"DIEHL, GEOFF",S8MA00276,REP,MA,3025033.56,Geoff Diehl,U.S. Senate Massachusetts,Senator,1.0,"('U.S. Senate Massachusetts', 'Senator')",2,4646221.140000001,0.6510739521106823
144,"DIGHTMAN, DOUGLAS",H8WA06100,REP,WA,46610.0,Douglas Dightman,U.S. House Washington District 6,Representative,1.0,"('U.S. House Washington District 6', 'Representative')",1,46610.0,1.0
145,"DILLEY, BRENDEN",H8AZ08182,REP,AZ,47018.77,Brenden Dilley,U.S. House Arizona District 8,Representative,0.0,"('U.S. House Arizona District 8', 'Representative')",13,7602017.289999999,0.006185038550471384
146,"DILLINGHAM, THOMAS",H8TX06290,REP,TX,0.0,Thomas Dillingham,U.S. House Texas District 6,Representative,0.0,"('U.S. House Texas District 6', 'Representative')",7,61596.0,0.0
