,Candidate,State,District,Office Type,Race Type,Race Primary Election Date,Primary Status,Primary Runoff Status,General Status,Primary %,Won Primary,Rep Party Support?,Trump Endorsed?,Bannon Endorsed?,Great America Endorsed?,NRA Endorsed?,Right to Life Endorsed?,Susan B. Anthony Endorsed?,Club for Growth Endorsed?,Koch Support?,House Freedom Support?,Tea Party Endorsed?,Main Street Endorsed?,Chamber Endorsed?,No Labels Support?
30,Steve Ferrara,AZ,U.S. House Arizona District 9,Representative,Regular,8/28/18,Advanced,,On the Ballot,58.9,Yes,Yes,No,,,,,,,,,,,,
31,Irina Baroness Von Behr,AZ,U.S. House Arizona District 9,Representative,Regular,8/28/18,Lost,,,7.8,No,No,No,,,,,,,,,,,,
32,Joe Arpaio,AZ,U.S. Senate Arizona,Senator,Regular,8/28/18,Lost,,,18.9,No,,No,No,No,,,,,No,,,,,
33,Kelli Ward,AZ,U.S. Senate Arizona,Senator,Regular,8/28/18,Lost,,,28.1,No,,No,Yes,Yes,,,,,No,,,,,
34,Martha McSally,AZ,U.S. Senate Arizona,Senator,Regular,8/28/18,Advanced,,On the Ballot,53.0,Yes,,No,No,No,,,,,Yes,,,,,
35,John Cox,CA,Governor of California,Governor,Regular,6/5/18,Advanced,,On the Ballot,70.15,Yes,,Yes,,,,Yes,,,,,,,,
36,Peter Yuan Liu,CA,Governor of California,Governor,Regular,6/5/18,Lost,,,1.08,No,,No,,,,No,,,,,,,,
37,Robert Newman,CA,Governor of California,Governor,Regular,6/5/18,Lost,,,1.77,No,,No,,,,No,,,,,,,,
38,Travis Allen,CA,Governor of California,Governor,Regular,6/5/18,Lost,,,26.15,No,,No,,,,No,,,,,,,,
39,Yvonne Girard,CA,Governor of California,Governor,Regular,6/5/18,Lost,,,0.85,No,,No,,,,No,,,,,,,,
40,John Fitzgerald,CA,U.S. House California District 11,Representative,Regular,6/5/18,Advanced,,On the Ballot,100.0,Yes,,No,,,,,,,,,,,,
41,Lisa Remmer,CA,U.S. House California District 12,Representative,Regular,6/5/18,Advanced,,On the Ballot,100.0,Yes,,No,,,,,,,,,,,,
42,Cristina OsmeÌ±a,CA,U.S. House California District 14,Representative,Regular,6/5/18,Advanced,,On the Ballot,100.0,Yes,,No,,,,,,,,,,,,
43,Rudy Peters,CA,U.S. House California District 15,Representative,Regular,6/5/18,Advanced,,On the Ballot,100.0,Yes,,No,,,,,,,,,,,,
44,Elizabeth Heng,CA,U.S. House California District 16,Representative,Regular,6/5/18,Advanced,,On the Ballot,100.0,Yes,Yes,No,,,,,,,,,,,,
45,Ron Cohen,CA,U.S. House California District 17,Representative,Regular,6/5/18,Advanced,,On the Ballot,100.0,Yes,,No,,,,,,,,,,,,
46,Christine Russell,CA,U.S. House California District 18,Representative,Regular,6/5/18,Advanced,,On the Ballot,100.0,Yes,,No,,,,,,,,,,,,
47,Dale Mensing,CA,U.S. House California District 2,Representative,Regular,6/5/18,Advanced,,On the Ballot,100.0,Yes,,No,,,,,,,,,,,,
48,Justin Fareed,CA,U.S. House California District 24,Representative,Regular,6/5/18,Advanced,,On the Ballot,78.37,Yes,Yes,No,,,Yes,,,,,,,,,
49,Michael Erin Woody,CA,U.S. House California District 24,Representative,Regular,6/5/18,Lost,,,21.63,No,No,No,,,No,,,,,,,,,
50,Antonio Sabato Jr.,CA,U.S. House California District 26,Representative,Regular,6/5/18,Advanced,,On the Ballot,53.04,Yes,,No,,,,,,,,,,,,
51,Jeffrey Burum,CA,U.S. House California District 26,Representative,Regular,6/5/18,Lost,,,46.96,No,,No,,,,,,,,,Yes,,,
52,Johnny Nalbandian,CA,U.S. House California District 28,Representative,Regular,6/5/18,Advanced,,On the Ballot,100.0,Yes,,No,,,,,,,,,,,,
53,Benito Bernal,CA,U.S. House California District 29,Representative,Regular,6/5/18,Advanced,,On the Ballot,100.0,Yes,,No,,,,,,,,,,,,
54,Charlie Schaupp,CA,U.S. House California District 3,Representative,Regular,6/5/18,Advanced,,On the Ballot,100.0,Yes,,No,,,,Yes,,,,,,,,
55,Mark Reed,CA,U.S. House California District 30,Representative,Regular,6/5/18,Advanced,,On the Ballot,100.0,Yes,,No,,,,,,,,,,,,
56,Sean Flynn,CA,U.S. House California District 31,Representative,Regular,6/5/18,Advanced,,On the Ballot,100.0,Yes,Yes,No,,,,,,,,,,,,
57,Kenneth Wright,CA,U.S. House California District 33,Representative,Regular,6/5/18,Advanced,,On the Ballot,100.0,Yes,,No,,,,,,,,,,,,
58,Ron Bassilian,CA,U.S. House California District 34,Representative,Regular,6/5/18,Advanced,,On the Ballot,100.0,Yes,,No,,,,,,,,,,,,
59,Christian Valiente,CA,U.S. House California District 35,Representative,Regular,6/5/18,Advanced,,On the Ballot,100.0,Yes,,No,,,,,,,,,,,,
60,Kimberlin Brown Pelzer,CA,U.S. House California District 36,Representative,Regular,6/5/18,Advanced,,On the Ballot,51.61,Yes,Yes,No,,,,,Yes,,,,,,,
61,Stephan Wolkowicz,CA,U.S. House California District 36,Representative,Regular,6/5/18,Lost,,,10.41,No,No,No,,,,,No,,,,,,,
62,Dan Ball,CA,U.S. House California District 36,Representative,Regular,6/5/18,Lost,,,17.39,No,No,No,,,,,No,,,,,,,
63,Doug Hassett,CA,U.S. House California District 36,Representative,Regular,6/5/18,Lost,,,11.21,No,No,No,,,,,No,,,,,,,
64,Robert Bentley,CA,U.S. House California District 36,Representative,Regular,6/5/18,Lost,,,9.38,No,No,No,,,,,No,,,,,,,
65,Ryan Downing,CA,U.S. House California District 38,Representative,Regular,6/5/18,Advanced,,On the Ballot,100.0,Yes,,No,,,,,,,,,,,,
66,Young Kim,CA,U.S. House California District 39,Representative,Regular,6/5/18,Advanced,,On the Ballot,39.79,Yes,Yes,No,,,,,Yes,,,,Yes,Yes,,
67,Bob Huff,CA,U.S. House California District 39,Representative,Regular,6/5/18,Lost,,,11.53,No,No,No,,,,,No,,,,No,No,,
68,John Cullum,CA,U.S. House California District 39,Representative,Regular,6/5/18,Lost,,,2.24,No,No,No,,,,,No,,,,No,No,,
69,Phil Liberatore,CA,U.S. House California District 39,Representative,Regular,6/5/18,Lost,,,21.22,No,No,No,,,,,No,,,,No,No,,
70,Shawn Nelson,CA,U.S. House California District 39,Representative,Regular,6/5/18,Lost,,,12.45,No,Yes,No,,,,,No,,,,No,No,,
71,Andrew Sarega,CA,U.S. House California District 39,Representative,Regular,6/5/18,Lost,,,1.05,No,No,No,,,,,No,,,,No,No,,
72,Steve Vargas,CA,U.S. House California District 39,Representative,Regular,6/5/18,Lost,,,5.29,No,No,No,,,,,No,,,,No,No,,
73,Aja Smith,CA,U.S. House California District 41,Representative,Regular,6/5/18,Advanced,,On the Ballot,100.0,Yes,,No,,,,,,,,,,,,
74,Omar Navarro,CA,U.S. House California District 43,Representative,Regular,6/5/18,Advanced,,On the Ballot,56.02,Yes,,No,,,,,,,,,,,,
75,Frank DeMartini,CA,U.S. House California District 43,Representative,Regular,6/5/18,Lost,,,27.54,No,,No,,,,,,,,,,,,
76,Edwin Duterte,CA,U.S. House California District 43,Representative,Regular,6/5/18,Lost,,,16.44,No,,No,,,,,,,,,,,,
77,Jazmina Saavedra,CA,U.S. House California District 44,Representative,Regular,6/5/18,Lost,,,58.53,No,,No,,,,,,,,,,,,
78,Stacey Dash,CA,U.S. House California District 44,Representative,Regular,6/5/18,Lost,,,41.47,No,,No,,,,,,,,,,,,
79,Russell Lambert,CA,U.S. House California District 46,Representative,Regular,6/5/18,Advanced,,On the Ballot,100.0,Yes,,No,,,,,,,,,,,,
80,John Briscoe,CA,U.S. House California District 47,Representative,Regular,6/5/18,Advanced,,On the Ballot,54.48,Yes,,No,,,,,,,,,,,,
81,David Clifford,CA,U.S. House California District 47,Representative,Regular,6/5/18,Lost,,,45.52,No,,No,,,,,,,,,,,,
82,Diane Harkey,CA,U.S. House California District 49,Representative,Regular,6/5/18,Advanced,,On the Ballot,52.93,Yes,Yes,No,,,,,,,,,Yes,,,
83,Kristin Gaspar,CA,U.S. House California District 49,Representative,Regular,6/5/18,Lost,,,18.34,No,Yes,No,,,,,,,,,No,,,
84,Rocky ChÌÁvez,CA,U.S. House California District 49,Representative,Regular,6/5/18,Lost,,,15.66,No,Yes,No,,,,,,,,,No,,,
85,Joshua Schoonover,CA,U.S. House California District 49,Representative,Regular,6/5/18,Lost,,,1.55,No,No,No,,,,,,,,,No,,,
86,Brian Maryott,CA,U.S. House California District 49,Representative,Regular,6/5/18,Lost,,,6.26,No,No,No,,,,,,,,,No,,,
87,Craig Nordal,CA,U.S. House California District 49,Representative,Regular,6/5/18,Lost,,,1.31,No,No,No,,,,,,,,,No,,,
88,David Medway,CA,U.S. House California District 49,Representative,Regular,6/5/18,Lost,,,1.22,No,No,No,,,,,,,,,No,,,
89,Mike Schmitt,CA,U.S. House California District 49,Representative,Regular,6/5/18,Lost,,,2.72,No,No,No,,,,,,,,,No,,,
90,Juan Hidalgo,CA,U.S. House California District 51,Representative,Regular,6/5/18,Advanced,,On the Ballot,49.39,Yes,,No,,,,,,,,,,,,
91,Louis Fuentes,CA,U.S. House California District 51,Representative,Regular,6/5/18,Lost,,,53.9,No,,No,,,,,,,,,,,,
92,John Renison Jr.,CA,U.S. House California District 51,Representative,Regular,6/5/18,Lost,,,45.22,No,,No,,,,,,,,,,,,
93,Omar Qudrat,CA,U.S. House California District 52,Representative,Regular,6/5/18,Advanced,,On the Ballot,37.28,Yes,No,No,,,,,,,,,,,,
94,James Veltmeyer,CA,U.S. House California District 52,Representative,Regular,6/5/18,Lost,,,27.81,No,No,No,,,,,,,,,,,,
95,John Horst,CA,U.S. House California District 52,Representative,Regular,6/5/18,Lost,,,8.25,No,No,No,,,,,,,,,,,,
96,Danny Casara,CA,U.S. House California District 52,Representative,Regular,6/5/18,Lost,,,11.2,No,No,No,,,,,,,,,,,,
97,Michael Allman,CA,U.S. House California District 52,Representative,Regular,6/5/18,Lost,,,9.57,No,Yes,No,,,,,,,,,,,,
98,Jeff Cullen,CA,U.S. House California District 52,Representative,Regular,6/5/18,Lost,,,5.88,No,No,No,,,,,,,,,,,,
99,Morgan Murtaugh,CA,U.S. House California District 53,Representative,Regular,6/5/18,Advanced,,On the Ballot,42.73,Yes,,No,,,,,,,,,,,,
100,Matt Mendoza,CA,U.S. House California District 53,Representative,Regular,6/5/18,Lost,,,40.43,No,,No,,,,,,,,,,,,
101,Brett Goda,CA,U.S. House California District 53,Representative,Regular,6/5/18,Lost,,,5.93,No,,No,,,,,,,,,,,,
102,Shawn Gino Kane,CA,U.S. House California District 53,Representative,Regular,6/5/18,Lost,,,10.91,No,,No,,,,,,,,,,,,
103,Andrew Grant,CA,U.S. House California District 7,Representative,Regular,6/5/18,Advanced,,On the Ballot,69.15,Yes,Yes,No,,,,,,,,,,,Yes,
104,Yona Barash,CA,U.S. House California District 7,Representative,Regular,6/5/18,Lost,,,30.85,No,No,No,,,,,,,,,,,No,
105,Marla Livengood,CA,U.S. House California District 9,Representative,Regular,6/5/18,Advanced,,On the Ballot,100.0,Yes,,No,,,,Yes,,,,,,,,
106,Jerry Laws,CA,U.S. Senate California,Senator,Regular,6/5/18,Lost,,,3.04,No,,No,,,,No,,,,,,,,
107,Kevin Mottus,CA,U.S. Senate California,Senator,Regular,6/5/18,Lost,,,3.94,No,,No,,,,No,,,,,,,,
108,Roque De La Fuente,CA,U.S. Senate California,Senator,Regular,6/5/18,Lost,,,6.11,No,,No,,,,No,,,,,,,,
109,Tom Palzer,CA,U.S. Senate California,Senator,Regular,6/5/18,Lost,,,9.26,No,,No,,,,No,,,,,,,,
110,Patrick Little,CA,U.S. Senate California,Senator,Regular,6/5/18,Lost,,,4.06,No,,No,,,,No,,,,,,,,
111,Erin Cruz,CA,U.S. Senate California,Senator,Regular,6/5/18,Lost,,,12.06,No,,No,,,,No,,,,,,,,
112,Mario Nabliba,CA,U.S. Senate California,Senator,Regular,6/5/18,Lost,,,1.77,No,,No,,,,No,,,,,,,,
113,Paul Taylor,CA,U.S. Senate California,Senator,Regular,6/5/18,Lost,,,14.59,No,,No,,,,Yes,,,,,,,,
114,Arun Bhumitra,CA,U.S. Senate California,Senator,Regular,6/5/18,Lost,,,15.82,No,,No,,,,No,,,,,,,,
115,James Bradley,CA,U.S. Senate California,Senator,Regular,6/5/18,Lost,,,25.08,No,,No,,,,No,,,,,,,,
116,John Crew,CA,U.S. Senate California,Senator,Regular,6/5/18,Lost,,,4.24,No,,No,,,,No,,,,,,,,
117,Walker Stapleton,CO,Governor of Colorado,Governor,Regular,6/26/18,Advanced,,On the Ballot,47.67,Yes,,No,,,,,,,,,,,,
118,Greg Lopez,CO,Governor of Colorado,Governor,Regular,6/26/18,Lost,,,13.2,No,,No,,,,,,,,,,,,
119,Victor Mitchell,CO,Governor of Colorado,Governor,Regular,6/26/18,Lost,,,30.12,No,,No,,,,,,,,,,,,
120,Doug Robinson,CO,Governor of Colorado,Governor,Regular,6/26/18,Lost,,,9.01,No,,No,,,,,,,,,,,,
121,Casper Stockham,CO,U.S. House Colorado District 1,Representative,Regular,6/26/18,Advanced,,On the Ballot,100.0,Yes,,No,,,,,,,,,,,,
122,Peter Yu,CO,U.S. House Colorado District 2,Representative,Regular,6/26/18,Advanced,,On the Ballot,100.0,Yes,,No,,,,,,,,,,,,
123,Mark Barrington,CO,U.S. House Colorado District 7,Representative,Regular,6/26/18,Advanced,,On the Ballot,100.0,Yes,,No,,,,,,,,,,,,
124,Bob Stefanowski,CT,Governor of Connecticut,Governor,Regular,8/14/18,Advanced,,On the Ballot,29.3,Yes,,No,,,,,,,,,,,,
125,Mark Boughton,CT,Governor of Connecticut,Governor,Regular,8/14/18,Lost,,,21.2,No,,No,,,,,,,,,,,,
126,Steve Obsitnik,CT,Governor of Connecticut,Governor,Regular,8/14/18,Lost,,,13.5,No,,No,,,,,,,,,,,,
127,Tim Herbst,CT,Governor of Connecticut,Governor,Regular,8/14/18,Lost,,,17.6,No,,No,,,,,,,,,,,,
128,David Stemerman,CT,Governor of Connecticut,Governor,Regular,8/14/18,Lost,,,18.4,No,,No,,,,,,,,,,,,
129,Jennifer Nye,CT,U.S. House Connecticut District 1,Representative,Regular,8/14/18,Advanced,,On the Ballot,100.0,Yes,,No,,,,,,,,,,,,
130,Dan Postemski,CT,U.S. House Connecticut District 2,Representative,Regular,8/14/18,Advanced,,On the Ballot,100.0,Yes,,No,,,,,,,,,,,,
131,Angel Cadena,CT,U.S. House Connecticut District 3,Representative,Regular,8/14/18,Advanced,,On the Ballot,100.0,Yes,,No,,,,,,,,,,,,
132,Harry Arora,CT,U.S. House Connecticut District 4,Representative,Regular,8/14/18,Advanced,,On the Ballot,100.0,Yes,,No,,,,,,,,,,,,
133,Manny Santos,CT,U.S. House Connecticut District 5,Representative,Regular,8/14/18,Advanced,,On the Ballot,51.7,Yes,,No,,,,,,,,,,,,
134,Ruby Corby O'Neill,CT,U.S. House Connecticut District 5,Representative,Regular,8/14/18,Lost,,,26.7,No,,No,,,,,,,,,,,,
135,Rich DuPont,CT,U.S. House Connecticut District 5,Representative,Regular,8/14/18,Lost,,,21.7,No,,No,,,,,,,,,,,,
136,Matthew Corey,CT,U.S. Senate Connecticut,Senator,Regular,8/14/18,Advanced,,On the Ballot,76.7,Yes,,No,,,,,,,,,,,,
137,Dominic Rapini,CT,U.S. Senate Connecticut,Senator,Regular,8/14/18,Lost,,,23.3,No,,No,,,,,,,,,,,,
138,Lee Murphy,DE,U.S. House Delaware At-large District,Representative,Regular,9/6/18,Lost,,,47.0,No,,No,,,,,,,,,,,,
139,Scott Walker,DE,U.S. House Delaware At-large District,Representative,Regular,9/6/18,Advanced,,On the Ballot,53.0,Yes,,No,,,,,,,,,,,,
140,Gene Truono,DE,U.S. Senate Delaware,Senator,Regular,9/6/18,Lost,,,28.0,No,,No,,,,,,,,,,,,
141,Robert Arlett,DE,U.S. Senate Delaware,Senator,Regular,9/6/18,Advanced,,On the Ballot,66.8,Yes,,No,,,,,,,,,,,,
142,Roque De La Fuente,DE,U.S. Senate Delaware,Senator,Regular,9/6/18,Lost,,,5.3,No,,No,,,,,,,,,,,,
143,Bruce Nathan,FL,Governor of Florida,Governor,Regular,8/28/18,Lost,,,0.9,No,,No,,,,No,,,No,,,,No,
144,Ron DeSantis,FL,Governor of Florida,Governor,Regular,8/28/18,Advanced,,On the Ballot,56.5,Yes,,Yes,,,,,,,Yes,,,,No,
145,Don Baldauf,FL,Governor of Florida,Governor,Regular,8/28/18,Lost,,,0.8,No,,No,,,,No,,,No,,,,No,
146,Bob White,FL,Governor of Florida,Governor,Regular,8/28/18,Lost,,,2.0,No,,No,,,,No,,,No,,,,No,
147,Adam Putnam,FL,Governor of Florida,Governor,Regular,8/28/18,Lost,,,36.6,No,,No,,,,,,,No,,,,Yes,
148,Timothy Devine,FL,Governor of Florida,Governor,Regular,8/28/18,Lost,,,1.3,No,,No,,,,No,,,No,,,,No,
149,Bob Langford,FL,Governor of Florida,Governor,Regular,8/28/18,Lost,,,1.2,No,,No,,,,No,,,No,,,,No,
150,John Joseph Mercadante,FL,Governor of Florida,Governor,Regular,8/28/18,Lost,,,0.7,No,,No,,,,No,,,No,,,,No,
151,George Buck,FL,U.S. House Florida District 13,Representative,Regular,8/28/18,Advanced,,On the Ballot,56.0,Yes,,No,,,,Yes,,,,,,,,
152,Brad Sostack,FL,U.S. House Florida District 13,Representative,Regular,8/28/18,Lost,,,44.0,No,,No,,,,No,,,,,,,,
153,Neil Combee,FL,U.S. House Florida District 15,Representative,Regular,8/28/18,Lost,,,34.1,No,,No,,,,No,,,,,,,,
154,Ross Spano,FL,U.S. House Florida District 15,Representative,Regular,8/28/18,Advanced,,On the Ballot,43.7,Yes,,No,,,,,,,,,,,,
155,Sean Harper,FL,U.S. House Florida District 15,Representative,Regular,8/28/18,Lost,,,10.0,No,,No,,,,No,,,,,,,,
156,Danny Kushmer,FL,U.S. House Florida District 15,Representative,Regular,8/28/18,Lost,,,6.7,No,,No,,,,,,,,,,,,
157,Curt Rogers,FL,U.S. House Florida District 15,Representative,Regular,8/28/18,Lost,,,,No,,No,,,,No,,,,,,,,
158,Ed Shoemaker,FL,U.S. House Florida District 15,Representative,Regular,8/28/18,Lost,,,5.5,No,,No,,,,No,,,,,,,,
159,Greg Steube,FL,U.S. House Florida District 17,Representative,Regular,8/28/18,Advanced,,On the Ballot,62.4,Yes,,No,,,Yes,,,Yes,Yes,Yes,Yes,No,No,
160,Julio Gonzalez,FL,U.S. House Florida District 17,Representative,Regular,8/28/18,Lost,,,18.3,No,,No,,,No,,,No,No,No,No,Yes,Yes,
161,Bill Akins,FL,U.S. House Florida District 17,Representative,Regular,8/28/18,Lost,,,19.3,No,,No,,,No,No,,No,No,No,No,No,No,
162,Nicolas Kimaz,FL,U.S. House Florida District 22,Representative,Regular,8/28/18,Advanced,,On the Ballot,41.0,Yes,,No,,,,No,,,,,,,,
163,Javier Manjarres,FL,U.S. House Florida District 22,Representative,Regular,8/28/18,Lost,,,33.9,No,,No,,,,Yes,,,,,,,,
164,Eddison Walters,FL,U.S. House Florida District 22,Representative,Regular,8/28/18,Lost,,,25.1,No,,No,,,,No,,,,,,,,
165,Carla Spalding,FL,U.S. House Florida District 23,Representative,Regular,8/28/18,Lost,,,21.5,No,,No,,,,,,,,,,,,
166,Joe Kaufman,FL,U.S. House Florida District 23,Representative,Regular,8/28/18,Advanced,,On the Ballot,44.7,Yes,,No,,,,,,,,,,,,
167,Carlos Reyes,FL,U.S. House Florida District 23,Representative,Regular,8/28/18,Lost,,,33.8,No,,No,,,,,,,,,,,,
168,Bruno Barreiro,FL,U.S. House Florida District 27,Representative,Regular,8/28/18,Lost,,,25.7,No,Yes,No,,,,No,,,,,,No,,
169,Maria Peiro,FL,U.S. House Florida District 27,Representative,Regular,8/28/18,Lost,,,8.0,No,No,No,,,,Yes,,,,,,No,,
170,Bettina Rodriguez-Aguilera,FL,U.S. House Florida District 27,Representative,Regular,8/28/18,Lost,,,4.3,No,No,No,,,,No,,,,,,No,,
171,Gina Sosa-Suarez,FL,U.S. House Florida District 27,Representative,Regular,8/28/18,Lost,,,1.9,No,No,No,,,,No,,,,,,No,,
172,Angie Chirino,FL,U.S. House Florida District 27,Representative,Regular,8/28/18,Lost,,,6.9,No,No,No,,,,No,,,,,,No,,
173,Maria Elvira Salazar,FL,U.S. House Florida District 27,Representative,Regular,8/28/18,Advanced,,On the Ballot,40.5,Yes,Yes,No,,,,No,,,,,,Yes,,
174,Michael Ohevzion,FL,U.S. House Florida District 27,Representative,Regular,8/28/18,Lost,,,3.8,No,No,No,,,,No,,,,,,No,,
175,Elizabeth Adadi,FL,U.S. House Florida District 27,Representative,Regular,8/28/18,Lost,,,2.0,No,No,No,,,,No,,,,,,No,,
176,Stephen Marks,FL,U.S. House Florida District 27,Representative,Regular,8/28/18,Lost,,,7.0,No,No,No,,,,No,,,,,,No,,
177,Virginia Fuller,FL,U.S. House Florida District 5,Representative,Regular,8/28/18,Advanced,,On the Ballot,100.0,Yes,,No,,,,,,,,,,,,
178,Fred Costello,FL,U.S. House Florida District 6,Representative,Regular,8/28/18,Lost,,,27.2,No,,No,,,,Yes,,,,,,,,
179,John Ward,FL,U.S. House Florida District 6,Representative,Regular,8/28/18,Lost,,,30.4,No,,No,,,,No,,,,,,,,
180,Michael Waltz,FL,U.S. House Florida District 6,Representative,Regular,8/28/18,Advanced,,On the Ballot,42.4,Yes,,No,,,,No,,,,,,,,
181,Mike Miller,FL,U.S. House Florida District 7,Representative,Regular,8/28/18,Advanced,,On the Ballot,53.9,Yes,Yes,No,,,,No,,,,,,Yes,,
182,Scott Sturgill,FL,U.S. House Florida District 7,Representative,Regular,8/28/18,Lost,,,30.4,No,Yes,No,,,,Yes,,Yes,,,,No,,
183,Vennia Francois,FL,U.S. House Florida District 7,Representative,Regular,8/28/18,Lost,,,15.8,No,No,No,,,,No,,No,,,,No,,
184,Wayne Liebnitzky,FL,U.S. House Florida District 9,Representative,Regular,8/28/18,Advanced,,On the Ballot,100.0,Yes,,No,,,,,,,,,,,,
185,Rick Scott,FL,U.S. Senate Florida,Senator,Regular,8/28/18,Advanced,,On the Ballot,88.6,Yes,,Yes,,,,Yes,,Yes,Yes,,,,Yes,
186,Roque De La Fuente,FL,U.S. Senate Florida,Senator,Regular,8/28/18,Lost,,,11.4,No,,No,,,,No,,No,No,,,,No,
187,Brian Kemp,GA,Governor of Georgia,Governor,Regular,5/22/18,Advanced,Advanced,On the Ballot,25.55,Yes,,Yes,,,No,No,,,,,,,,
188,Casey Cagle,GA,Governor of Georgia,Governor,Regular,5/22/18,Advanced,Lost,,39.01,No,,No,,,Yes,No,,,,,,,,
189,Hunter Hill,GA,Governor of Georgia,Governor,Regular,5/22/18,Lost,,,18.35,No,,No,,,No,Yes,,,,,,,,
190,Michael Williams,GA,Governor of Georgia,Governor,Regular,5/22/18,Lost,,,4.88,No,,No,,,No,No,,,,,,,,
191,Clay Tippins,GA,Governor of Georgia,Governor,Regular,5/22/18,Lost,,,12.21,No,,No,,,No,No,,,,,,,,
